area_mean,area_se,area_worst,concavity_se,fractal_dimension_mean,perimeter_mean,perimeter_worst,radius_mean,radius_worst,smoothness_mean,smoothness_worst,symmetry_worst,texture_mean,texture_worst
439,22.7,1.19E+03,-0.0413,0.0556,81.5,119,12.4,18,0.0772,0.109,0.332,16.2,28.5
557,-55.2,-162,0.00415,0.0655,88.5,49.4,13.5,7.94,0.0958,0.158,0.307,12.6,24.6
1.03E+03,75.4,1.60E+03,0.0677,0.0617,112,149,17.1,21.7,0.0815,0.144,0.354,18.3,20.5
1.52E+03,62.4,1.19E+03,-0.0399,0.0546,156,131,23.2,19.1,0.083,0.125,0.306,20.3,18.3
980,21.8,1.07E+03,-0.00932,0.0736,115,107,17.2,16.6,0.0871,0.118,0.319,18.6,34.3
9.64,-26.4,-165,0.0605,0.0671,43.9,46.3,7.39,7.21,0.0924,0.182,0.29,22.2,30.9
-169,71.8,1.06E+03,-0.00587,0.072,32,115,5.45,17.8,0.088,0.135,0.354,20.9,25.6
1.49E+03,113,1.66E+03,0.0449,0.0598,149,153,22.4,23.5,0.0907,0.101,0.316,24.9,24
336,27.4,729,0.0262,0.0617,74.3,95.7,11.3,14.6,0.126,0.166,0.294,19,21.9
1.14E+03,115,999,0.0631,0.0693,115,109,17.1,17.2,0.0992,0.124,0.323,21.5,25.1
640,76.8,1.12E+03,0.0416,0.0551,95.4,119,14.3,18.2,0.0835,0.136,0.265,18.2,30.9
525,55.4,1.57E+03,-0.00574,0.0629,85.8,150,13.1,22.7,0.0849,0.142,0.195,16.9,30.2
635,98,2.02E+03,0.00723,0.0701,91.4,160,14.5,24.7,0.0965,0.125,0.342,17.5,19.7
644,42.4,548,0.0365,0.0622,89.1,92.2,13.8,14,0.105,0.166,0.19,13.4,24.1
450,22.4,765,0.0228,0.0475,75.3,105,11.9,16.3,0.093,0.15,0.351,15.2,24
846,61.5,739,0.0578,0.0738,102,94.6,15.6,15.5,0.0714,0.104,0.33,19.2,27.4
1.32E+03,88.7,969,0.00115,0.0572,139,114,20.6,17.2,0.11,0.0828,0.232,27.1,29.8
256,136,1.17E+03,-0.0475,0.0587,62.8,136,9.91,19.2,0.105,0.0717,0.334,18.2,22.8
1.31E+03,-62.1,-478,0.0618,0.0658,130,27.2,19.9,4.97,0.0877,0.147,0.401,15.4,27.4
540,49,453,0.0598,0.0637,87.8,85.7,13.3,12.8,0.123,0.128,0.296,21,24.2
263,-46.2,-31.4,0.0121,0.0569,64.1,51.6,10.3,8.14,0.0599,0.106,0.321,19.5,20.1
1.03E+03,35.8,462,0.000843,0.0634,118,86.9,18,13.9,0.115,0.112,0.368,23.4,15.4
652,97.6,770,0.0277,0.0582,87.7,98.5,13.5,15.3,0.101,0.145,0.346,25.1,21.5
-118,1.26,850,0.0641,0.0702,38.6,94.4,6.6,14.8,0.0957,0.165,0.286,18.6,25.1
610,144,1.31E+03,0.0655,0.0621,82.2,131,12.9,20,0.105,0.161,0.216,20.8,17.9
-164,-15.2,822,0.0104,0.0679,44.5,109,7.27,16.3,0.0922,0.165,0.154,12.9,28
514,76.3,1.40E+03,0.0246,0.0503,78.6,146,12.3,21.2,0.115,0.132,0.318,18.9,33.3
917,96.3,1.51E+03,0.0231,0.0632,109,139,16.7,21.4,0.1,0.109,0.285,19.1,24.8
662,-50.6,-0.488,0.0445,0.0761,95.4,50.6,14.5,8.67,0.0831,0.133,0.318,24,18
546,139,1.50E+03,0.0251,0.0602,83.1,137,12.9,21.6,0.101,0.118,0.23,24,23.2
820,-14.7,328,0.00257,0.0513,105,79.7,15.9,11.7,0.0801,0.134,0.334,19,20.3
714,-40.5,192,0.0413,0.0677,95.7,57.4,14.8,9.5,0.0988,0.19,0.175,18.1,24.7
859,72.5,1.09E+03,0.0173,0.0691,103,123,15.5,17.9,0.0855,0.127,0.373,22.6,25.7
1.16E+03,58.4,1.87E+03,0.0267,0.0592,131,159,19.6,24.8,0.0956,0.185,0.297,17.1,31.8
545,21.9,817,0.0205,0.067,83.2,99.6,12.9,15,0.0877,0.119,0.191,17.5,28.9
858,67,1.55E+03,0.0525,0.0723,102,151,15.5,23.1,0.109,0.165,0.278,15.8,27.1
370,94.8,1.65E+03,0.0636,0.0781,76.3,155,11.8,22.4,0.111,0.0882,0.21,10.1,22.3
1.00E+03,49.9,1.10E+03,0.0404,0.0543,113,110,17.1,17.1,0.0889,0.132,0.232,28.4,18.3
341,57.6,829,0.0436,0.0528,65.7,106,10.5,16,0.0729,0.141,0.32,20.2,30.2
425,32.3,840,0.0192,0.0775,79.9,108,12.2,16.1,0.0788,0.153,0.282,25.1,40.6
614,29.4,1.17E+03,0.0248,0.0548,92.5,116,14.5,18.3,0.0877,0.146,0.444,26.8,35.8
657,24.2,370,0.0841,0.0682,93.2,75.3,14.2,12,0.1,0.108,0.357,11.9,33.2
972,20.2,552,0.0597,0.0732,118,85.3,17.8,12.6,0.116,0.122,0.146,19.8,29.1
